Timestamp,Energy Consumption (kWh),Temperature (°C),Building Occupancy,Energy Tariff ($/kWh),Efficiency Recommendations,Estimated Cost Savings ($)
1/1/2023 0:00,10.85,34.85,51,0.23,Shift heavy operations to off-peak hours.,0.17
1/1/2023 1:00,14.96,30.51,26,0.19,Investigate devices left on overnight.,0.11
1/1/2023 2:00,7.74,26.13,58,0.25,Shift heavy operations to off-peak hours.,0.14
1/1/2023 3:00,15.78,34.92,39,0.2,Investigate devices left on overnight.,0.13
1/1/2023 4:00,15.71,26.44,37,0.12,Investigate devices left on overnight.,0.08
1/1/2023 5:00,16.72,25.69,34,0.24,Shift heavy operations to off-peak hours.,0.28
1/1/2023 6:00,20.17,21.51,85,0.24,Shift heavy operations to off-peak hours.,0.34
1/1/2023 7:00,12.24,28.93,48,0.19,No action needed,0
1/1/2023 8:00,12.8,23.88,107,0.22,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.31
1/1/2023 9:00,14.59,19.11,66,0.18,No action needed,0
1/1/2023 10:00,20.77,19.06,116,0.28,Shift heavy operations to off-peak hours.,0.41
1/1/2023 11:00,24.55,18.38,69,0.21,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.57
1/1/2023 12:00,21.1,26.1,27,0.24,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.81
1/1/2023 13:00,8.92,25.78,33,0.21,Shift heavy operations to off-peak hours.,0.13
1/1/2023 14:00,7.27,24.5,71,0.28,Shift heavy operations to off-peak hours.,0.14
1/1/2023 15:00,22.89,20.83,51,0.13,No action needed,0
1/1/2023 16:00,22.96,26.81,127,0.19,Reduce HVAC cooling to save energy.,0.22
1/1/2023 17:00,24.37,31.26,113,0.15,Reduce HVAC cooling to save energy.,0.18
1/1/2023 18:00,14.72,26.5,7,0.12,Turn off unnecessary lights in unoccupied areas.,0.05
1/1/2023 19:00,15.77,17.39,138,0.25,Shift heavy operations to off-peak hours.,0.28
1/1/2023 20:00,24.38,33.55,17,0.27,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.79
1/1/2023 21:00,23.28,29.28,81,0.2,Reduce HVAC cooling to save energy.,0.23
1/1/2023 22:00,12.19,28.79,61,0.23,Shift heavy operations to off-peak hours.,0.2
1/1/2023 23:00,12.62,32.58,24,0.27,Shift heavy operations to off-peak hours.,0.24
1/2/2023 0:00,23.91,31.88,42,0.21,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.6
1/2/2023 1:00,18.12,18.35,12,0.26,Shift heavy operations to off-peak hours.,0.33
1/2/2023 2:00,23.42,15.69,54,0.28,Shift heavy operations to off-peak hours.,0.46
1/2/2023 3:00,12.15,30.08,95,0.15,No action needed,0
1/2/2023 4:00,23.5,18.88,93,0.11,No action needed,0
1/2/2023 5:00,11.86,32.61,81,0.26,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.34
1/2/2023 6:00,5.55,31.99,44,0.18,No action needed,0
1/2/2023 7:00,6.02,25.92,37,0.22,Shift heavy operations to off-peak hours.,0.09
1/2/2023 8:00,14.55,16.95,138,0.12,No action needed,0
1/2/2023 9:00,21.24,28.6,34,0.13,Reduce HVAC cooling to save energy.; Investigate devices left on overnight.,0.25
1/2/2023 10:00,11.08,25.85,141,0.13,Investigate devices left on overnight.,0.06
1/2/2023 11:00,17.4,18.26,29,0.13,No action needed,0
1/2/2023 12:00,6.96,26.41,74,0.2,No action needed,0
1/2/2023 13:00,7.13,23.05,84,0.14,No action needed,0
1/2/2023 14:00,13.12,28.14,9,0.21,Turn off unnecessary lights in unoccupied areas.; Shift heavy operations to off-peak hours.,0.28
1/2/2023 15:00,12.46,27.09,34,0.21,Shift heavy operations to off-peak hours.,0.18
1/2/2023 16:00,14.6,25.34,31,0.19,No action needed,0
1/2/2023 17:00,10.39,28.22,24,0.19,Investigate devices left on overnight.,0.08
1/2/2023 18:00,23.42,18.2,147,0.18,No action needed,0
1/2/2023 19:00,12.3,23.61,96,0.19,Investigate devices left on overnight.,0.09
1/2/2023 20:00,24.53,33.39,121,0.15,Reduce HVAC cooling to save energy.,0.18
1/2/2023 21:00,5.62,32.61,85,0.23,Shift heavy operations to off-peak hours.,0.09
1/2/2023 22:00,7.4,33.36,146,0.24,Shift heavy operations to off-peak hours.,0.12
1/2/2023 23:00,17.76,34.8,50,0.26,Shift heavy operations to off-peak hours.,0.32
1/3/2023 0:00,23.62,24.48,104,0.13,Investigate devices left on overnight.,0.12
1/3/2023 1:00,6.02,34.23,74,0.17,No action needed,0
1/3/2023 2:00,17.39,24.36,18,0.12,No action needed,0
1/3/2023 3:00,20.3,19.83,120,0.11,No action needed,0
1/3/2023 4:00,8.91,31.58,11,0.13,No action needed,0
1/3/2023 5:00,11.09,26.75,14,0.21,Shift heavy operations to off-peak hours.,0.16
1/3/2023 6:00,23.64,27.32,79,0.28,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.79
1/3/2023 7:00,16.53,17.55,98,0.25,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.45
1/3/2023 8:00,11.64,25.91,57,0.25,Shift heavy operations to off-peak hours.,0.2
1/3/2023 9:00,13.71,20.27,39,0.2,No action needed,0
1/3/2023 10:00,5.61,30.72,13,0.27,Shift heavy operations to off-peak hours.,0.11
1/3/2023 11:00,6.04,20.34,18,0.27,Shift heavy operations to off-peak hours.,0.11
1/3/2023 12:00,14.59,18.07,6,0.12,Turn off unnecessary lights in unoccupied areas.,0.05
1/3/2023 13:00,12.83,23.89,57,0.13,Investigate devices left on overnight.,0.07
1/3/2023 14:00,5.22,33.07,67,0.18,No action needed,0
1/3/2023 15:00,13.57,16.38,133,0.12,Investigate devices left on overnight.,0.07
1/3/2023 16:00,15.12,25.91,29,0.17,No action needed,0
1/3/2023 17:00,12.55,19.58,19,0.22,Shift heavy operations to off-peak hours.,0.19
1/3/2023 18:00,7.47,24.76,135,0.26,Shift heavy operations to off-peak hours.,0.14
1/3/2023 19:00,11.08,27.96,37,0.3,Shift heavy operations to off-peak hours.,0.23
1/3/2023 20:00,24.04,24.37,136,0.17,No action needed,0
1/3/2023 21:00,18.18,31.3,72,0.26,Shift heavy operations to off-peak hours.,0.33
1/3/2023 22:00,16.91,25.35,37,0.12,No action needed,0
1/3/2023 23:00,19.09,32.42,32,0.16,No action needed,0
1/4/2023 0:00,9.21,34.54,41,0.25,Shift heavy operations to off-peak hours.,0.16
