Timestamp,Equipment,Power Usage (kW),Fault Type,Maintenance Required,Failure Probability
1/1/2023 0:00,HVAC,6.39,Short Circuit,Yes,1
1/1/2023 0:00,Refrigerator,1.25,Normal,No,0
1/1/2023 0:00,Lighting,0.82,Normal,No,0
1/1/2023 0:00,Industrial Motor,5.35,Normal,No,0
1/1/2023 0:00,Server Rack,4.48,Normal,No,0
1/1/2023 1:00,HVAC,3.78,Normal,No,0
1/1/2023 1:00,Refrigerator,1.28,Normal,No,0
1/1/2023 1:00,Lighting,1.9,Wear and Tear,Yes,1
1/1/2023 1:00,Industrial Motor,5.18,Normal,No,0
1/1/2023 1:00,Server Rack,4.26,Normal,No,0
1/1/2023 2:00,HVAC,3.81,Normal,No,0
1/1/2023 2:00,Refrigerator,1.21,Normal,No,0
1/1/2023 2:00,Lighting,0.85,Normal,No,0
1/1/2023 2:00,Industrial Motor,8,Short Circuit,Yes,0
1/1/2023 2:00,Server Rack,4.1,Normal,No,0
1/1/2023 3:00,HVAC,3.38,Normal,No,0
1/1/2023 3:00,Refrigerator,1.18,Normal,No,0
1/1/2023 3:00,Lighting,0.78,Normal,No,0
1/1/2023 3:00,Industrial Motor,5.49,Normal,No,0
1/1/2023 3:00,Server Rack,4.65,Normal,No,0
1/1/2023 4:00,HVAC,3.24,Normal,No,0
1/1/2023 4:00,Refrigerator,1.29,Normal,No,0
1/1/2023 4:00,Lighting,0.73,Normal,No,0
1/1/2023 4:00,Industrial Motor,4.79,Normal,No,0
1/1/2023 4:00,Server Rack,4.77,Normal,No,0
1/1/2023 5:00,HVAC,3.64,Normal,No,0
1/1/2023 5:00,Refrigerator,1.25,Normal,No,0
1/1/2023 5:00,Lighting,0.82,Normal,No,0
1/1/2023 5:00,Industrial Motor,4.94,Normal,No,0
1/1/2023 5:00,Server Rack,4.89,Normal,No,0
1/1/2023 6:00,HVAC,3.56,Normal,No,0
1/1/2023 6:00,Refrigerator,1.09,Normal,No,0
1/1/2023 6:00,Lighting,0.76,Normal,No,0
1/1/2023 6:00,Industrial Motor,5.15,Normal,No,0
1/1/2023 6:00,Server Rack,4.94,Normal,No,0
