,Season,Temperature (°C),Humidity (%),Wind Speed (m/s),Sunlight (W/m²),Building Occupancy,Energy Tariff ($/kWh),Energy Consumption (kWh),Timestamp
0,Winter,-4.19,53.82,4.32,3.16,165,0.24,19.13,2023-01-01 00:00:00
1,Winter,9.44,70.59,5.78,536.76,72,0.11,9.04,2023-01-01 01:00:00
2,Winter,-4.3,35.83,2.48,486.66,104,0.15,19.6,2023-01-01 02:00:00
3,Winter,2.23,73.91,13.68,727.17,153,0.22,17.35,2023-01-01 03:00:00
4,Winter,-1.56,57.3,3.44,96.14,188,0.18,21.06,2023-01-01 04:00:00
5,Winter,3.97,68.12,1.39,113.64,119,0.27,19.31,2023-01-01 05:00:00
6,Winter,-2.12,69.64,14.32,608.67,162,0.24,23.15,2023-01-01 06:00:00
7,Winter,5.75,78.02,0.05,353.88,193,0.18,19.23,2023-01-01 07:00:00
8,Winter,6.49,31.63,0.77,959.19,16,0.21,10.45,2023-01-01 08:00:00
9,Winter,3.27,54.19,4.57,129.39,18,0.19,17.33,2023-01-01 09:00:00
10,Winter,1.95,67.32,10.28,413.29,6,0.09,15.66,2023-01-01 10:00:00
11,Winter,-2.65,61.89,15.23,754.86,5,0.13,11.47,2023-01-01 11:00:00
12,Winter,6.19,56.38,12.9,340.26,21,0.06,18.93,2023-01-01 12:00:00
13,Winter,4.15,64.17,5.2,691.08,6,0.08,11.67,2023-01-01 13:00:00
14,Winter,7.46,49.41,19.73,606.65,23,0.11,16.41,2023-01-01 14:00:00
15,Winter,9.25,49.08,2.29,899.23,8,0.1,13.26,2023-01-01 15:00:00
16,Winter,-1.7,76.71,1.47,583.22,22,0.12,15.13,2023-01-01 16:00:00
17,Winter,2.58,66.56,4.43,305.83,21,0.12,19.19,2023-01-01 17:00:00
18,Winter,0.71,40.5,7.1,960.96,16,0.11,12.57,2023-01-01 18:00:00
19,Winter,3.55,63.7,4.38,279.19,7,0.12,19.89,2023-01-01 19:00:00
20,Winter,-2.51,36.26,10.08,53.4,26,0.08,22.93,2023-01-01 20:00:00
21,Winter,-0.08,63.26,8.25,708.63,81,0.26,12.04,2023-01-01 21:00:00
22,Winter,3.05,35.75,6.02,274.51,121,0.1,19.27,2023-01-01 22:00:00
23,Winter,3.64,41.65,16.65,178.46,167,0.18,20.0,2023-01-01 23:00:00
24,Winter,7.63,70.77,17.4,576.76,138,0.11,19.39,2023-01-02 00:00:00
25,Winter,4.01,30.63,17.34,413.84,63,0.17,22.15,2023-01-02 01:00:00
26,Winter,8.13,37.76,3.98,431.46,81,0.26,16.67,2023-01-02 02:00:00
27,Winter,-4.01,39.19,15.88,167.96,108,0.27,21.65,2023-01-02 03:00:00
28,Winter,-2.58,42.91,11.09,193.48,50,0.1,14.74,2023-01-02 04:00:00
29,Winter,5.16,43.35,6.91,917.57,61,0.17,18.25,2023-01-02 05:00:00
30,Winter,-1.82,44.0,18.55,788.93,66,0.12,22.49,2023-01-02 06:00:00
31,Winter,2.11,41.58,4.83,147.27,183,0.12,15.21,2023-01-02 07:00:00
32,Winter,-3.24,48.28,12.97,813.28,11,0.22,17.63,2023-01-02 08:00:00
33,Winter,-4.36,30.8,9.89,31.94,18,0.23,12.84,2023-01-02 09:00:00
34,Winter,-1.64,45.23,7.96,105.76,21,0.1,16.45,2023-01-02 10:00:00
35,Winter,8.81,48.89,12.78,286.85,16,0.15,15.6,2023-01-02 11:00:00
36,Winter,9.04,52.66,3.9,465.89,14,0.09,10.08,2023-01-02 12:00:00
37,Winter,0.91,34.76,18.44,673.24,34,0.06,17.69,2023-01-02 13:00:00
38,Winter,5.79,50.1,6.76,523.05,26,0.15,16.2,2023-01-02 14:00:00
39,Winter,-4.28,53.3,8.96,499.91,33,0.11,12.96,2023-01-02 15:00:00
40,Winter,2.3,67.85,15.65,227.33,35,0.12,12.58,2023-01-02 16:00:00
41,Winter,5.2,33.34,12.2,301.18,36,0.05,9.82,2023-01-02 17:00:00
42,Winter,-4.89,50.76,14.69,353.89,33,0.15,18.69,2023-01-02 18:00:00
43,Winter,1.86,41.87,5.17,871.87,8,0.14,15.21,2023-01-02 19:00:00
44,Winter,1.1,45.87,2.56,28.31,24,0.15,15.84,2023-01-02 20:00:00
45,Winter,2.35,64.23,18.19,73.92,32,0.15,16.17,2023-01-02 21:00:00
46,Winter,3.87,66.1,17.48,470.37,36,0.21,15.84,2023-01-02 22:00:00
47,Winter,3.46,35.29,19.23,152.26,42,0.1,22.08,2023-01-02 23:00:00
48,Winter,1.51,74.74,12.56,623.03,40,0.11,17.74,2023-01-03 00:00:00
49,Winter,-1.84,50.79,19.83,165.25,24,0.25,23.06,2023-01-03 01:00:00
50,Winter,2.37,66.83,3.78,858.58,42,0.11,12.76,2023-01-03 02:00:00
51,Winter,4.0,41.74,6.59,971.01,11,0.2,18.44,2023-01-03 03:00:00
52,Winter,-0.48,32.04,10.34,428.51,47,0.22,16.91,2023-01-03 04:00:00
53,Winter,9.57,35.38,15.27,624.77,23,0.23,16.68,2023-01-03 05:00:00
54,Winter,3.72,44.08,15.85,853.24,27,0.2,8.78,2023-01-03 06:00:00
55,Winter,0.83,72.35,1.07,666.05,41,0.29,21.49,2023-01-03 07:00:00
56,Winter,9.99,77.96,2.31,286.58,24,0.28,13.65,2023-01-03 08:00:00
57,Winter,1.68,70.35,2.11,826.06,27,0.21,10.25,2023-01-03 09:00:00
58,Winter,3.4,41.2,16.92,601.73,19,0.13,11.82,2023-01-03 10:00:00
59,Winter,4.95,46.42,15.04,382.89,37,0.08,11.81,2023-01-03 11:00:00
60,Winter,7.21,32.24,3.8,858.79,16,0.12,16.14,2023-01-03 12:00:00
61,Winter,2.13,76.29,11.29,379.78,22,0.1,11.18,2023-01-03 13:00:00
62,Winter,5.3,57.66,7.07,119.22,44,0.14,17.21,2023-01-03 14:00:00
63,Winter,5.88,36.0,17.68,446.38,25,0.14,9.23,2023-01-03 15:00:00
64,Winter,2.31,42.12,18.25,184.28,41,0.05,11.1,2023-01-03 16:00:00
65,Winter,7.33,58.71,4.97,693.11,5,0.11,19.29,2023-01-03 17:00:00
66,Winter,3.75,55.38,4.11,540.11,20,0.06,15.23,2023-01-03 18:00:00
67,Winter,6.16,31.33,16.67,587.47,20,0.09,13.35,2023-01-03 19:00:00
68,Winter,3.53,40.83,16.03,72.5,11,0.07,15.08,2023-01-03 20:00:00
69,Winter,1.17,35.04,18.57,515.32,48,0.14,17.59,2023-01-03 21:00:00
70,Winter,-3.09,63.41,16.91,374.24,38,0.26,22.51,2023-01-03 22:00:00
71,Winter,2.72,42.8,16.08,617.45,19,0.18,13.43,2023-01-03 23:00:00
72,Winter,4.06,78.12,2.46,434.25,13,0.2,17.54,2023-01-04 00:00:00
73,Winter,3.56,35.59,0.86,895.61,6,0.16,11.97,2023-01-04 01:00:00
74,Winter,-0.58,40.08,11.42,292.45,17,0.23,20.75,2023-01-04 02:00:00
75,Winter,-4.82,43.87,13.39,571.32,40,0.21,20.16,2023-01-04 03:00:00
