,Timestamp,Energy Consumption (kWh),Temperature (°C),Building Occupancy,Energy Tariff ($/kWh)
0,1/1/2023 0:00,10.85,34.85,51.0,0.23
1,1/1/2023 1:00,14.96,30.51,26.0,0.19
2,1/1/2023 2:00,7.74,26.13,58.0,0.25
3,1/1/2023 3:00,15.78,34.92,39.0,0.2
4,1/1/2023 4:00,15.71,26.44,37.0,0.12
5,1/1/2023 5:00,16.72,25.69,34.0,0.24
6,1/1/2023 6:00,20.17,21.51,85.0,0.24
7,1/1/2023 7:00,12.24,28.93,48.0,0.19
8,1/1/2023 8:00,12.8,23.88,107.0,0.22
9,1/1/2023 9:00,14.59,19.11,66.0,0.18
10,1/1/2023 10:00,20.77,19.06,116.0,0.28
11,1/1/2023 11:00,24.55,18.38,69.0,0.21
12,1/1/2023 12:00,21.1,26.1,27.0,0.24
13,1/1/2023 13:00,8.92,25.78,33.0,0.21
14,1/1/2023 14:00,7.27,24.5,71.0,0.28
15,1/1/2023 15:00,22.89,20.83,51.0,0.13
16,1/1/2023 16:00,22.96,26.81,127.0,0.19
17,1/1/2023 17:00,24.37,31.26,113.0,0.15
18,1/1/2023 18:00,14.72,26.5,7.0,0.12
19,1/1/2023 19:00,15.77,17.39,138.0,0.25
20,1/1/2023 20:00,24.38,33.55,17.0,0.27
21,1/1/2023 21:00,23.28,29.28,81.0,0.2
22,1/1/2023 22:00,12.19,28.79,61.0,0.23
23,1/1/2023 23:00,12.62,32.58,24.0,0.27
24,1/2/2023 0:00,23.91,31.88,42.0,0.21
25,1/2/2023 1:00,18.12,18.35,12.0,0.26
26,1/2/2023 2:00,23.42,15.69,54.0,0.28
27,1/2/2023 3:00,12.15,30.08,95.0,0.15
28,1/2/2023 4:00,23.5,18.88,93.0,0.11
29,1/2/2023 5:00,11.86,32.61,81.0,0.26
30,1/2/2023 6:00,5.55,31.99,44.0,0.18
31,1/2/2023 7:00,6.02,25.92,37.0,0.22
32,1/2/2023 8:00,14.55,16.95,138.0,0.12
33,1/2/2023 9:00,21.24,28.6,34.0,0.13
34,1/2/2023 10:00,11.08,25.85,141.0,0.13
35,1/2/2023 11:00,17.4,18.26,29.0,0.13
36,1/2/2023 12:00,6.96,26.41,74.0,0.2
37,1/2/2023 13:00,7.13,23.05,84.0,0.14
38,1/2/2023 14:00,13.12,28.14,9.0,0.21
39,1/2/2023 15:00,12.46,27.09,34.0,0.21
40,1/2/2023 16:00,14.6,25.34,31.0,0.19
41,1/2/2023 17:00,10.39,28.22,24.0,0.19
42,1/2/2023 18:00,23.42,18.2,147.0,0.18
43,1/2/2023 19:00,12.3,23.61,96.0,0.19
44,1/2/2023 20:00,24.53,33.39,121.0,0.15
45,1/2/2023 21:00,5.62,32.61,85.0,0.23
46,1/2/2023 22:00,7.4,33.36,146.0,0.24
47,1/2/2023 23:00,17.76,34.8,50.0,0.26
48,1/3/2023 0:00,23.62,24.48,104.0,0.13
49,1/3/2023 1:00,6.02,34.23,74.0,0.17
50,1/3/2023 2:00,17.39,24.36,18.0,0.12
51,1/3/2023 3:00,20.3,19.83,120.0,0.11
52,1/3/2023 4:00,8.91,31.58,11.0,0.13
53,1/3/2023 5:00,11.09,26.75,14.0,0.21
54,1/3/2023 6:00,23.64,27.32,79.0,0.28
55,1/3/2023 7:00,16.53,17.55,98.0,0.25
56,1/3/2023 8:00,11.64,25.91,57.0,0.25
57,1/3/2023 9:00,13.71,20.27,39.0,0.2
58,1/3/2023 10:00,5.61,30.72,13.0,0.27
59,1/3/2023 11:00,6.04,20.34,18.0,0.27
60,1/3/2023 12:00,14.59,18.07,6.0,0.12
61,1/3/2023 13:00,12.83,23.89,57.0,0.13
62,1/3/2023 14:00,5.22,33.07,67.0,0.18
63,1/3/2023 15:00,13.57,16.38,133.0,0.12
64,1/3/2023 16:00,15.12,25.91,29.0,0.17
65,1/3/2023 17:00,12.55,19.58,19.0,0.22
66,1/3/2023 18:00,7.47,24.76,135.0,0.26
67,1/3/2023 19:00,11.08,27.96,37.0,0.3
68,1/3/2023 20:00,24.04,24.37,136.0,0.17
69,1/3/2023 21:00,18.18,31.3,72.0,0.26
70,1/3/2023 22:00,16.91,25.35,37.0,0.12
71,1/3/2023 23:00,19.09,32.42,32.0,0.16
72,1/4/2023 0:00,9.21,34.54,41.0,0.25
73,1/4/2023 1:00,11.16,20.4,50.0,0.22
74,1/4/2023 2:00,20.53,19.88,12.0,0.2
75,1/4/2023 3:00,8.15,26.51,56.0,0.13
76,1/4/2023 4:00,6.75,21.14,96.0,0.28
77,1/4/2023 5:00,23.67,15.86,32.0,0.27
78,1/4/2023 6:00,17.23,30.87,52.0,0.2
